CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺北市,1987,8,121.45,25.10,1.412981
臺北市,1987,9,121.45,25.10,8.856744
臺北市,1987,10,121.45,25.10,8.031736
臺北市,1987,11,121.45,25.10,2.695081
臺北市,1987,12,121.45,25.10,1.540990
臺北市,1988,1,121.45,25.10,3.114690
臺北市,1988,2,121.45,25.10,2.104983
臺北市,1988,3,121.45,25.10,7.863919
臺北市,1988,4,121.45,25.10,11.605815
臺北市,1988,5,121.45,25.10,8.686973
臺北市,1988,6,121.45,25.10,1.492081
臺北市,1988,7,121.45,25.10,6.777803
臺北市,1988,8,121.45,25.10,1.581653
臺北市,1988,9,121.45,25.10,12.107449
臺北市,1988,10,121.45,25.10,3.064914
臺北市,1988,11,121.45,25.10,2.069293
臺北市,1988,12,121.45,25.10,1.113218
臺北市,1989,1,121.45,25.10,1.335541
臺北市,1989,2,121.45,25.10,0.844204
臺北市,1989,3,121.45,25.10,1.958943
臺北市,1989,4,121.45,25.10,6.472115
臺北市,1989,5,121.45,25.10,8.502080
臺北市,1989,6,121.45,25.10,1.074809
臺北市,1989,7,121.45,25.10,10.502261
臺北市,1989,8,121.45,25.10,5.898445
臺北市,1989,9,121.45,25.10,13.313723
臺北市,1989,10,121.45,25.10,0.757191
臺北市,1989,11,121.45,25.10,1.446988
臺北市,1989,12,121.45,25.10,2.417384
臺北市,1990,1,121.45,25.10,4.623116
臺北市,1990,2,121.45,25.10,5.978456
臺北市,1990,3,121.45,25.10,2.439863
臺北市,1990,4,121.45,25.10,20.047161
臺北市,1990,5,121.45,25.10,3.870753
臺北市,1990,6,121.45,25.10,13.934311
臺北市,1990,7,121.45,25.10,5.216437
臺北市,1990,8,121.45,25.10,11.933140
臺北市,1990,9,121.45,25.10,14.150215
臺北市,1990,10,121.45,25.10,0.620892
臺北市,1990,11,121.45,25.10,0.820726
臺北市,1990,12,121.45,25.10,0.001888
臺北市,1991,1,121.45,25.10,3.528575
臺北市,1991,2,121.45,25.10,1.984755
臺北市,1991,3,121.45,25.10,3.885778
臺北市,1991,4,121.45,25.10,4.461172
臺北市,1991,5,121.45,25.10,2.436164
臺北市,1991,6,121.45,25.10,13.208680
臺北市,1991,7,121.45,25.10,1.482039
臺北市,1991,8,121.45,25.10,1.791407
臺北市,1991,9,121.45,25.10,7.070371
臺北市,1991,10,121.45,25.10,2.160266
臺北市,1991,11,121.45,25.10,1.092554
臺北市,1991,12,121.45,25.10,1.954467
臺北市,1992,1,121.45,25.10,1.170452
臺北市,1992,2,121.45,25.10,6.021350
臺北市,1992,3,121.45,25.10,5.310104
臺北市,1992,4,121.45,25.10,6.158061
臺北市,1992,5,121.45,25.10,6.428527
臺北市,1992,6,121.45,25.10,7.567515
臺北市,1992,7,121.45,25.10,1.531893
